,postId,PayRangeMin,PayRangeMax,companyDetail.groupSize,companyDetail.industry,suburb,city,region,state,distance_km,descriptions_similarity_to_resume,descriptions_similarity_to_resume_norm,job_title_similarity_to_last_job,job_industry_similarity_to_last_job,job_teamwork_score,job_growth_score,job_respect_score,competitive_salary_score,benefit_score,user_preference_score,work_from_home_score,hybrid_score,on_site_score,PayRangeMin_norm,PayRangeMax_norm,pay_average_norm,distance_norm,workType,headquarter_in_australia
160,79698577,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3621095,0.58839524,0.5908985,0.43293864,0.23830414,0.14154917,0.08226481,0.046883766,0.04345125,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
161,79700509,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Chatswood,Sydney,,New South Wales,9.69760027302827,0.4291453,0.7368368,0.63393766,0.47550765,0.2585699,0.14879929,0.12268152,0.15578696,0.20873487,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.26251528731908547,Full Time,1
162,79701186,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Eveleigh,Sydney,,New South Wales,2.3014414121942193,0.5147487,0.9263937,0.49694246,0.47550765,0.24536759,0.1975198,0.088515125,0.167366,0.20685527,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.042120032029965594,Full Time,1
163,79710683,110000.0,110000.0,SIZE_C,Staffing and Recruiting,North Sydney,Sydney,,New South Wales,4.9972367335528265,0.18809426,0.20306234,0.29759547,0.43293875,0.26067305,0.22122669,0.17159282,0.20801136,0.30093127,0.0,1,0,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.12245098614241488,Full Time,1
164,79710706,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3412674,0.54224324,0.50038487,0.43293864,0.20150661,0.11904499,0.04086964,0.0188979,0.027609184,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
165,79710857,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3901934,0.65058315,0.46622804,0.43293864,0.09425081,0.07297161,0.053592864,0.18278894,0.10759493,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
166,79710885,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.41884202,0.71402156,0.6339375,0.47550765,0.17786387,0.13910045,0.028652966,0.24289736,0.20622475,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
167,79040379,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.43690753,0.75402516,0.39257795,0.47550765,0.35077965,0.17495027,0.06327168,0.12338239,0.15258431,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
168,79047443,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.28620762,0.42032087,0.21648952,0.2803483,0.17890672,0.20743519,0.090385325,0.1697946,0.12970264,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
169,79054598,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.36662665,0.5983978,0.17188714,0.47550765,0.13579443,0.08613711,0.09738077,0.12925026,0.1363153,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
170,79066015,110000.0,110000.0,SIZE_C,Staffing and Recruiting,North Sydney,Sydney,,New South Wales,4.9972367335528265,0.18641075,0.19933446,0.43338144,0.47550765,0.208842,0.19776331,0.19774912,0.09879883,0.1500315,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.12245098614241488,Full Time,1
171,79067843,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.32435608,0.50479543,0.30118644,0.47550765,0.2552233,0.16423497,0.08009063,0.07380523,0.09094307,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
172,79099520,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.34092116,0.54147655,0.24794085,0.325816,0.13402443,0.10239677,0.053988434,0.1382238,0.16994533,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Contract/Temp,1
173,79129539,20000.0,20000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.33159038,0.5208148,0.14454558,0.325816,0.23696284,0.1571836,0.09052454,0.08282685,0.07374382,0.0,0,0,1,0.013793103448275862,0.012121212121212121,0.012957157784743992,0.32633993620682783,Full Time,1
174,79133709,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.38167107,0.6317116,0.36517832,0.3052014,0.191742,0.100267604,0.055117283,0.035214163,0.062849924,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
175,79139165,170000.0,190000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.4051432,0.6836874,0.49694246,0.47550765,0.21528745,0.24539629,0.14699578,0.102222,0.096779734,0.0,0,1,0,0.11724137931034483,0.11515151515151516,0.11619644723092999,0.32633993620682783,Full Time,1
176,79161768,110000.0,110000.0,SIZE_C,Staffing and Recruiting,North Sydney,Sydney,,New South Wales,4.9972367335528265,0.34520635,0.5509655,0.28827178,0.30599722,0.253045,0.11749852,0.06592354,0.11613308,0.09766375,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.12245098614241488,Full Time,1
177,79167921,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.36157578,0.58721334,0.35920826,0.47550765,0.21250725,0.08771172,0.047260482,0.13907664,0.14630136,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
178,79174031,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.34069,0.5409646,0.30118644,0.27767843,0.17095761,0.08098641,0.07997782,0.1592299,0.14659509,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Contract/Temp,1
179,79200103,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.39733264,0.66639197,0.4495083,0.47550765,0.13773441,0.136143,0.08677676,0.15173848,0.15401933,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
180,79204836,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.34590676,0.55251646,0.2477314,0.47550765,0.17793408,0.062233213,0.0704934,0.12300295,0.1257433,0.0,1,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Contract/Temp,1
181,79205229,180000.0,220000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.39820325,0.6683198,0.46608642,0.47550765,0.16502765,0.16876937,0.060050033,0.07949358,0.035729848,0.0,0,1,0,0.12413793103448276,0.13333333333333333,0.12873563218390804,0.32633993620682783,Full Time,1
182,79223318,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3511032,0.5640232,0.19981417,0.325816,0.14269058,0.09863977,0.052335322,0.122380376,0.15185225,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Contract/Temp,1
183,79245287,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3577232,0.57868236,0.48308474,0.28079078,0.3503465,0.19389787,0.15909897,0.1604034,0.20558426,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
184,79248223,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3940805,0.65919054,0.4735203,0.27767843,0.21629786,0.08915644,0.052111432,0.03998769,0.08732225,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
185,79249003,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Surry Hills,Sydney,,New South Wales,11.464104788047777,0.3066333,0.46555072,0.3386925,0.43293875,0.3122836,0.33084196,0.1532063,0.11049251,0.19033006,0.0,1,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.3151546668784914,Full Time,1
186,79258859,900.0,1000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.36869553,0.60297906,0.21845302,0.47550765,0.2405312,0.1771915,0.07606224,0.08532445,0.08787277,0.0,0,1,0,0.0006206896551724138,0.0006060606060606061,0.00061337513061651,0.32633993620682783,Contract/Temp,1
187,79277067,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3774302,0.6223208,0.50038487,0.47550765,0.17640206,0.12823148,0.08887929,0.22370511,0.1396143,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
188,79292220,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.4916829,0.87531763,0.4331358,0.43293875,0.24700166,0.19346562,0.13336414,0.23202844,0.17386952,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
189,79297027,1000.0,1200.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.39291748,0.65661526,0.45392653,0.47550765,0.2076451,0.22791126,0.095253706,0.13370001,0.124006286,0.0,0,0,1,0.000689655172413793,0.0007272727272727272,0.0007084639498432601,0.32633993620682783,Contract/Temp,1
190,79314094,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3667552,0.5986824,0.4931565,0.47550765,0.14134604,0.088805586,0.10151922,0.13631691,0.10186442,0.0,1,0,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
191,79349816,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.29516292,0.44015115,0.27209195,0.4237142,0.13583374,0.07750723,0.094650686,0.34496212,0.25514877,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
192,79360077,160000.0,160000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3950559,0.6613504,0.3359921,0.47550765,0.17625421,0.10849886,0.09684558,0.23982531,0.16342802,0.0,1,1,0,0.1103448275862069,0.09696969696969697,0.10365726227795194,0.32633993620682783,Full Time,1
193,79362439,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.40468568,0.6826743,0.4672321,0.47550765,0.15836403,0.038968,0.040387213,0.071287744,0.05862631,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
194,79366472,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Eveleigh,Sydney,,New South Wales,2.3014414121942193,0.4349554,0.7497024,0.4596788,0.307216,0.29240927,0.11989483,0.14473984,0.090552606,0.15293801,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.042120032029965594,Full Time,1
195,79380521,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.36696082,0.5991378,0.49694246,0.307216,0.27653307,0.14592284,0.048976846,0.15086073,0.13542981,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
196,79380905,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.45253694,0.78863436,0.29027945,0.43293875,0.26374292,0.19403645,0.13002846,0.15794933,0.1117132,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
197,79399096,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.34391487,0.54810566,0.38088894,0.47550765,0.15213658,0.15088731,0.121291846,0.2233133,0.19631588,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
198,79411945,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Bella Vista,Sydney,,New South Wales,28.631410442055635,0.3849825,0.6390443,0.46608642,0.47550765,0.28041083,0.1871698,0.13448884,0.22275405,0.23599099,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.8267165172164038,Full Time,1
199,79413854,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.27957216,0.4056276,0.28766656,0.27767843,0.3053895,0.16405636,0.18334436,0.18051955,0.19936357,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
200,79418512,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.40684384,0.6874532,0.369384,0.47550765,0.19297865,0.110581666,0.08663875,0.03901072,0.08906996,0.0,1,0,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
201,79434862,110000.0,110000.0,SIZE_C,Staffing and Recruiting,North Sydney,Sydney,,New South Wales,4.9972367335528265,0.096391864,0.0,0.4186404,0.47550765,0.15983552,0.19332297,0.19778945,0.14276507,0.23426962,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.12245098614241488,Full Time,1
202,79435126,110000.0,110000.0,SIZE_C,Staffing and Recruiting,North Sydney,Sydney,,New South Wales,4.9972367335528265,0.11166927,0.03382972,0.36776656,0.47550765,0.15896155,0.2136493,0.18386458,0.13518085,0.22285432,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.12245098614241488,Full Time,1
203,79442610,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.39984342,0.6719518,0.37389833,0.47550765,0.17179571,0.2262378,0.13251355,0.15322654,0.17834647,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
204,79445519,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.45722237,0.7990096,0.46608642,0.47550765,0.20689142,0.061426595,0.07480695,0.10266468,0.12699333,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
205,79448089,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Eveleigh,Sydney,,New South Wales,2.3014414121942193,0.37685585,0.6210489,0.46130395,0.47550765,0.29755825,0.2756755,0.13825509,0.098294705,0.18910173,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.042120032029965594,Full Time,1
206,79449922,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.37958398,0.62709004,0.48127997,0.15146664,0.19888553,0.107831724,0.11738057,0.22557297,0.12304265,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
207,79451127,170000.0,180000.0,SIZE_C,Staffing and Recruiting,Surry Hills,Sydney,,New South Wales,11.464104788047777,0.34180093,0.54342467,0.24426755,0.47550765,0.15301697,0.1840657,0.08556392,0.23445523,0.19273542,0.0,0,0,1,0.11724137931034483,0.10909090909090909,0.11316614420062696,0.3151546668784914,Full Time,1
208,79460286,110000.0,130000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.30260974,0.45664114,0.30118644,0.43293875,0.21082674,0.16307312,0.15018037,0.15629548,0.19265673,0.0,0,1,0,0.07586206896551724,0.07878787878787878,0.07732497387669801,0.32633993620682783,Full Time,1
209,79485280,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.41861266,0.7135137,0.46608642,0.47550765,0.2768559,0.14623569,0.05093681,0.115521476,0.12051154,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
210,79486153,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3565142,0.5760051,0.30765218,0.325816,0.16683888,0.11292067,0.07081499,0.13047259,0.11729358,0.0,1,0,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
211,79487966,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Surry Hills,Sydney,,New South Wales,11.464104788047777,0.33553922,0.52955896,0.34608728,0.43293864,0.44498038,0.32068574,0.3240579,0.137527,0.26682356,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.3151546668784914,Full Time,1
212,79504089,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.4047136,0.6827361,0.22194761,0.47550765,0.30500865,0.16015744,0.15340875,0.19808972,0.21508786,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
213,79511039,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.332798,0.5234889,0.44735494,0.39798254,0.25367725,0.15910338,0.10947163,0.1143906,0.08889614,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
214,79512535,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.34289068,0.54583776,0.3278154,0.47550765,0.19722907,0.18508916,0.17160821,0.21543172,0.20893316,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
215,79517474,180000.0,180000.0,SIZE_C,Staffing and Recruiting,North Ryde,Sydney,,New South Wales,12.65022949285366,0.3517123,0.565372,0.21329102,0.325816,0.15441923,0.07745364,0.05412519,0.18917625,0.14706637,0.0,0,1,0,0.12413793103448276,0.10909090909090909,0.11661442006269593,0.35049953467260275,Full Time,1
216,79526685,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3211481,0.4976918,0.50038487,0.47550765,0.2438349,0.105399825,0.05027359,0.10901028,0.12801448,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Contract/Temp,1
217,79530322,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.45680135,0.7980773,0.46608642,0.47550765,0.34022927,0.11308062,0.08649687,0.06376352,0.09096152,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
218,79533599,0.0,0.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.42989376,0.7384941,0.3512459,0.47550765,0.11360107,0.09253334,0.065499105,0.08557622,0.082698494,0.0,0,0,1,0.0,0.0,0.0,0.32633993620682783,Full Time,1
219,79541268,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.40718782,0.68821496,0.4103225,0.43293875,0.31201297,0.17770255,0.08542432,0.14474338,0.19260831,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
220,79550513,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.41873246,0.713779,0.50038487,0.47550765,0.22541723,0.25305125,0.18933004,0.0836909,0.17553857,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
221,79558268,1050.0,1050.0,SIZE_C,Staffing and Recruiting,Parramatta,Sydney,,New South Wales,21.731726893975797,0.23034593,0.29662287,0.28642505,0.43293864,0.18709846,0.080671415,0.07981005,0.11101535,0.10812914,0.0,0,0,1,0.0007241379310344827,0.0006363636363636364,0.0006802507836990595,0.6211155362740185,Contract/Temp,1
222,79561123,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.26515216,0.37369645,0.60163987,0.47550765,0.3043604,0.27229464,0.119501635,0.1850262,0.26374754,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
223,79564814,130000.0,160000.0,SIZE_C,Staffing and Recruiting,East Ryde,Sydney,,New South Wales,11.089857131177526,0.39597988,0.6633965,0.49694246,0.47550765,0.28940606,0.14085132,0.077017605,0.14360774,0.14103717,0.0,0,0,1,0.0896551724137931,0.09696969696969697,0.09331243469174504,0.30400260681200814,Full Time,1
224,79567563,140000.0,160000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.45134705,0.7859995,0.4776751,0.47550765,0.1739471,0.13837905,0.05018922,0.19170144,0.11679582,0.0,0,0,1,0.09655172413793103,0.09696969696969697,0.096760710553814,0.32633993620682783,Full Time,1
225,79569393,160000.0,200000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.34900957,0.5593872,0.25165758,0.47550765,0.1806081,0.1318353,0.1101134,0.16881134,0.11764951,0.0,0,0,1,0.1103448275862069,0.12121212121212122,0.11577847439916406,0.32633993620682783,Full Time,1
226,79569998,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Bella Vista,Sydney,,New South Wales,28.631410442055635,0.3094932,0.47188365,0.60163987,0.47550765,0.1740671,0.24826649,0.09573401,0.111006424,0.17136663,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.8267165172164038,Full Time,1
227,79576052,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.36377677,0.59208715,0.30765218,0.325816,0.16242388,0.111144304,0.074387565,0.13719614,0.113939464,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
228,79588934,110000.0,110000.0,SIZE_C,Staffing and Recruiting,Haymarket,Sydney,,New South Wales,0.8879515995012189,0.26721472,0.3782637,0.34608728,0.47550765,0.38885087,0.29340297,0.31695634,0.1610286,0.2826221,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.0,Full Time,1
229,79594369,200000.0,220000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.34864014,0.55856913,0.34020668,0.47550765,0.21730128,0.17360018,0.096299276,0.14298107,0.08079858,0.0,0,1,0,0.13793103448275862,0.13333333333333333,0.135632183908046,0.32633993620682783,Full Time,1
230,79598108,180000.0,200000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.43034494,0.7394932,0.24552274,0.47550765,0.23901466,0.14660694,0.085369684,0.1844911,0.16443872,0.0,0,0,1,0.12413793103448276,0.12121212121212122,0.12267502612330199,0.32633993620682783,Full Time,1
231,79599719,150000.0,215000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.31495434,0.48397654,0.63068175,0.31507835,0.21770233,0.10761714,0.027399436,0.10012055,0.07969666,0.0,0,0,1,0.10344827586206896,0.1303030303030303,0.11687565308254963,0.32633993620682783,Full Time,1
232,79604620,140000.0,175000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.35109985,0.5640158,0.48092788,0.47550765,0.21503812,0.16843157,0.14299016,0.10890395,0.1485468,0.0,0,0,1,0.09655172413793103,0.10606060606060606,0.10130616509926854,0.32633993620682783,Full Time,1
233,79613498,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.38801795,0.6457659,0.4778021,0.47550765,0.20751679,0.13055661,0.08736724,0.11775881,0.11376034,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
234,79615353,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.44208547,0.765491,0.49694246,0.43293864,0.16411816,0.20101298,0.13585338,0.17122172,0.18840218,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
235,79617216,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.42718154,0.7324883,0.26589346,0.47550765,0.19166726,0.1525433,0.13375896,0.15715644,0.14180431,0.0,0,1,0,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
236,79620264,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.402918,0.67876005,0.50038487,0.43293875,0.31790003,0.1296958,0.13320743,0.070602775,-0.0013804585,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Contract/Temp,1
237,79625338,80000.0,90000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.31618983,0.4867124,0.38693392,0.43293875,0.1385041,0.11518098,0.043896355,0.10982819,0.07943991,0.0,0,0,1,0.05517241379310345,0.05454545454545454,0.05485893416927899,0.32633993620682783,Part Time,1
238,79633096,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.2927361,0.43477732,0.57885766,0.47550765,0.17953345,0.20981155,0.090161055,0.3481485,0.22609344,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
239,79634627,110000.0,110000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.31705213,0.48862183,0.39970827,0.47550765,0.3201301,0.11623857,0.04430785,-0.0028087236,0.032639273,0.0,0,0,1,0.07586206896551724,0.06666666666666667,0.07126436781609195,0.32633993620682783,Full Time,1
240,79639223,1000.0,1000.0,SIZE_C,Staffing and Recruiting,,Sydney,,New South Wales,11.839466901651656,0.3757046,0.61849964,0.50038487,0.47550765,0.18474525,0.11101852,0.029574301,0.22682896,0.15536757,0.0,0,0,1,0.000689655172413793,0.0006060606060606061,0.0006478578892371996,0.32633993620682783,Contract/Temp,1
